Data,Bloomberg Euro Treasury Bond 0-1 Year
2009-03,10000
2009-04,10006.840436587063
2009-05,10018.79849171025
2009-06,10030.398400425864
2009-07,10047.04751432311
2009-08,10056.455399236867
2009-09,10060.865014459188
2009-10,10064.771466937125
2009-11,10070.648124150764
2009-12,10074.946879776764
2010-01,10081.0027100677
2010-02,10095.075986263399
2010-03,10099.442955496865
2010-04,10082.358792589186
2010-05,10111.48640247127
2010-06,10108.808194421767
2010-07,10117.397116551889
2010-08,10128.758227704615
2010-09,10126.310228096117
2010-10,10133.875746367225
2010-11,10123.043565324517
2010-12,10144.025591588255
2011-01,10157.655429398668
2011-02,10169.766990107031
2011-03,10174.142548462374
2011-04,10178.876353098802
2011-05,10198.246321034412
2011-06,10204.685965225042
2011-07,10213.078735781135
2011-08,10255.912586708933
2011-09,10268.795270789546
2011-10,10271.52840926966
2011-11,10267.737909937066
2011-12,10333.597698514832
2012-01,10355.999526599562
2012-02,10376.587651739073
2012-03,10377.74848154812
2012-04,10378.175740424753
2012-05,10368.377949327178
2012-06,10377.935245012191
2012-07,10400.238797562888
2012-08,10420.794164191053
2012-09,10428.576108358764
2012-10,10438.395671881563
2012-11,10447.400167687627
2012-12,10453.617493444553
2013-01,10461.848369040612
2013-02,10468.358623802955
2013-03,10474.59432628576
2013-04,10481.605346828243
2013-05,10481.677755123139
2013-06,10480.68651053441
2013-07,10487.78721748905
2013-08,10491.011733639347
2013-09,10496.568695746837
2013-10,10504.328368121774
2013-11,10507.8028676681
2013-12,10507.495856497748
2014-01,10515.270509899216
2014-02,10518.479445781919
2014-03,10521.083747433877
2014-04,10522.095466092196
2014-05,10530.509509705958
2014-06,10538.806801186298
2014-07,10005.168554026326
2014-08,10009.695820243662
2014-09,10011.20301138608
2014-10,10452.810115988103
2014-11,10456.247063094592
2014-12,10458.893211747323
2015-01,10462.210310641574
2015-02,10464.6683974746
2015-03,10466.816077437927
2015-04,10464.283185345761
2015-05,10465.747430878793
2015-06,10463.497879935063
2015-07,10463.749061813216
2015-08,10463.51695577551
2015-09,10462.992220352924
2015-10,10463.718500519091
2015-11,10466.108873112204
2015-12,10462.512627756947
2016-01,10463.352364230703
2016-02,10461.676386856048
2016-03,10457.70391798787
2016-04,10458.860553109487
2016-05,10458.24603140123
2016-06,10455.24942660121
2016-07,10454.014490647594
2016-08,10451.281751661521
2016-09,10448.431261806922
2016-10,10446.943645872503
2016-11,10444.509129187885
2016-12,10442.831054469516
2017-01,10432.814640258113
2017-02,10432.564956482616
2017-03,10424.022775155267
2017-04,10421.56868326265
2017-05,10418.69682047687
2017-06,10411.426428428398
2017-07,10409.846529370554
2017-08,10404.24831950335
2017-09,10400.959384938977
2017-10,10398.863739074463
2017-11,10393.15007542947
2017-12,10388.953490404403
2018-01,10382.349354542474
2018-02,10379.701008672517
2018-03,10373.46900150959
2018-04,10369.238359617546
2018-05,10350.481714908072
2018-06,10359.758266155915
2018-07,10357.01573956584
2018-08,10348.777073835987
2018-09,10348.488639138532
2018-10,10350.170209429756
2018-11,10346.901449314446
2018-12,10346.150400517745
2019-01,10341.421789303848
2019-02,10337.667344308435
2019-03,10338.253901433836
2019-04,10334.373915436101
2019-05,10331.133719144704
2019-06,10332.357069771137
2019-07,10331.97255675687
2019-08,10330.316853704784
2019-09,10323.591771022
2019-10,10317.627724486938
2019-11,10313.248171191188
2019-12,10311.088905900679
2020-01,10306.189311237318
2020-02,10303.262218400398
2020-03,10292.919117937132
2020-04,10287.963394361042
2020-05,10291.285786551334
2020-06,10293.632814041019
2020-07,10290.190274017958
2020-08,10287.584074769307
2020-09,10285.37736956145
2020-10,10285.134876678687
2020-11,10281.24320548026
2020-12,10276.482235249057
2021-01,10269.815878190273
2021-02,10264.208779580664
2021-03,10257.433160901719
2021-04,10255.527973821156
2021-05,10253.695195035489
2021-06,10249.30705261786
2021-07,10244.965151635455
2021-08,10240.444177449262
2021-09,10234.292268841511
2021-10,10229.534494562637
2021-11,10232.204712731327
2021-12,10223.039919941395
2022-01,10215.28643972409
2022-02,10212.142122002484
2022-03,10201.530361796786
2022-04,10192.249915482043
2022-05,10184.710763817624
2022-06,10173.6404843266
2022-07,10173.38920257494
2022-08,10160.664917881504
2022-09,10131.745644141696
2022-10,10135.501587239762
2022-11,10146.391495171369
2022-12,10146.17307180456
2023-01,10157.759397722784
2023-02,10162.985578764496
2023-03,10194.577567510749
2023-04,10213.11608847395
2023-05,10235.200618416777
2023-06,10245.827459522516
2023-07,10274.835620686401
2023-08,10304.18155406178
2023-09,10324.533777970202
2023-10,10357.139083350938
2023-11,10391.164190552667
2023-12,10430.515651926835
2024-01,10454.706614073277
2024-02,10475.19137012973
2024-03,10508.041565357476
2024-04,10536.142375681202
