Data,Euro Government Bond 15-30 Year Term
2006-12,10000
2007-01,9837.085217851205
2007-02,10029.942386148527
2007-03,9859.075737380306
2007-04,9821.724247519223
2007-05,9571.78275003205
2007-06,9374.254310430963
2007-07,9660.805207042338
2007-08,9683.656469713833
2007-09,9632.559262899233
2007-10,9777.82419180699
2007-11,9755.160042747299
2007-12,9699.853138908844
2008-01,9987.264676022121
2008-02,9953.068868001343
2008-03,9886.691879481714
2008-04,9826.495285378483
2008-05,9607.244525846563
2008-06,9478.369640815456
2008-07,9776.059185954791
2008-08,9947.593100543265
2008-09,9872.91495981948
2008-10,9853.849488951464
2008-11,10655.220240367807
2008-12,10846.936046425277
2009-01,10408.92094063973
2009-02,10448.823251938295
2009-03,10588.144680678713
2009-04,10730.097914202586
2009-05,10301.699811692677
2009-06,10522.279047076256
2009-07,10910.257119660098
2009-08,11036.824543853603
2009-09,11157.211368349728
2009-10,11096.416072273027
2009-11,11282.967932678594
2009-12,11117.8017313993
2010-01,11285.250554517808
2010-02,11452.761783053746
2010-03,11570.454294708494
2010-04,11629.004330084052
2010-05,11829.782059651592
2010-06,11837.247410352229
2010-07,11992.472367050515
2010-08,12889.50774945444
2010-09,12583.841396056812
2010-10,12430.549775613006
2010-11,11859.16310496471
2010-12,11599.866542730328
2011-01,11523.860028795378
2011-02,11455.661787435467
2011-03,11327.11124635022
2011-04,11544.229033876174
2011-05,11714.665311073197
2011-06,11536.663916620038
2011-07,11620.254228380158
2011-08,11950.2374479945
2011-09,12260.955560989341
2011-10,11839.293035301891
2011-11,11477.022504922867
2011-12,12257.631343465775
2012-01,12424.693519861483
2012-02,12836.919997455745
2012-03,12791.342180307129
2012-04,12752.961616901372
2012-05,13431.014439371642
2012-06,12838.366817791442
2012-07,13230.04333512246
2012-08,13327.02391982201
2012-09,13502.062801835527
2012-10,13661.441311210076
2012-11,13993.987874401582
2012-12,14282.87127612992
2013-01,14099.41279478772
2013-02,14007.895660687538
2013-03,14216.169841023942
2013-04,14957.98652779942
2013-05,14514.701448736632
2013-06,14151.245933909846
2013-07,14243.548883595306
2013-08,14050.741701216224
2013-09,14174.415279457358
2013-10,14480.53684342457
2013-11,14489.187178572967
2013-12,14376.802001333524
2014-01,15027.220001133353
2014-02,15238.126088893703
2014-03,15508.131030725335
2014-04,15851.859967293192
2014-05,16129.34267932466
2014-06,16404.89205510164
2014-07,16752.057292607267
2014-08,17569.032374955477
2014-09,17480.08474286181
2014-10,17624.45156748911
2014-11,18240.50542886588
2014-12,18841.90931057933
2015-01,20304.15086657466
2015-02,20587.471153788614
2015-03,21530.720416452696
2015-04,20596.451991312217
2015-05,19672.679890518317
2015-06,18265.85752705662
2015-07,19380.622023740143
2015-08,18833.851518975058
2015-09,19413.545500256856
2015-10,19867.14605112426
2015-11,19874.923223631075
2015-12,19425.17692577345
2016-01,20346.40436355922
2016-02,20886.43303043201
2016-03,21159.955461828362
2016-04,20501.1990513268
2016-05,21008.36028338998
2016-06,22451.037330458817
2016-07,22872.46912032656
2016-08,22617.968537590314
2016-09,22677.715976912823
2016-10,21422.49515559985
2016-11,20576.2513166337
2016-12,20762.67836620441
2017-01,19769.629169868662
2017-02,20278.51178557613
2017-03,19999.326473109897
2017-04,20161.093631949
2017-05,20318.114797208204
2017-06,20151.79471154938
2017-07,20196.518046625442
2017-08,20584.203080612635
2017-09,20301.400409385693
2017-10,20814.124858603744
2017-11,21007.437237470647
2017-12,20560.74685489783
2018-01,20644.48065806184
2018-02,20701.37797628037
2018-03,21435.161813090454
2018-04,21261.44514585875
2018-05,20925.605670492885
2018-06,21106.394780632585
2018-07,20933.16452667918
2018-08,20769.27055426346
2018-09,20712.847229824034
2018-10,20625.608459234973
2018-11,20801.37701248618
2018-12,21226.307611349614
2019-01,21698.842766461305
2019-02,21416.42684459765
2019-03,22309.83244874167
2019-04,22252.729336342298
2019-05,22879.44169403857
2019-06,24082.879362147658
2019-07,24950.340324556822
2019-08,26551.65379026333
2019-09,26342.419100229043
2019-10,25692.038564207767
2019-11,25163.847117032397
2019-12,24541.294675722715
2020-01,25991.904806201463
2020-02,26369.299310022914
2020-03,24985.203501038348
2020-04,25383.391120441946
2020-05,25297.2998705221
2020-06,25766.018133762085
2020-07,26414.30942262579
2020-08,25876.918924246787
2020-09,26772.968957954436
2020-10,27373.21905792884
2020-11,27430.64025320423
2020-12,27555.105805459996
2021-01,27157.573032377455
2021-02,26083.36579595405
2021-03,25993.8756062345
2021-04,25346.22664155218
2021-05,25313.17219577125
2021-06,25610.824379772515
2021-07,26685.51187104487
2021-08,26370.964446679125
2021-09,25717.19112928751
2021-10,25768.668721755064
2021-11,26565.480593203312
2021-12,25649.067815484712
2022-01,25182.987515457524
2022-02,24192.50782112829
2022-03,23290.115118390822
2022-04,21256.992088235016
2022-05,20263.244423370295
2022-06,19413.02778162936
2022-07,21138.002303437326
2022-08,19069.735580343026
2022-09,17588.852561340547
2022-10,17528.980311183175
2022-11,18833.558377737914
2022-12,16775.24531872381
2023-01,17702.803108680706
2023-02,16835.816037410157
2023-03,17535.298141214607
2023-04,17389.00413876218
2023-05,17428.725597518784
2023-06,17662.975622298763
2023-07,17343.788129337976
2023-08,17329.531057467288
2023-09,16123.480162503294
2023-10,16020.537397067368
2023-11,17182.33268966456
2023-12,18547.33798350175
2024-01,18244.896081072187
2024-02,17974.26123455837
2024-03,18348.493692829183
2024-04,17759.588138204057
