Data,Euro Government Bond 15-30 Year Term
12/2006,10000
01/2007,9837.085217851205
02/2007,10029.942386148527
03/2007,9859.075737380306
04/2007,9821.724247519223
05/2007,9571.78275003205
06/2007,9374.254310430963
07/2007,9660.805207042338
08/2007,9683.656469713833
09/2007,9632.559262899233
10/2007,9777.82419180699
11/2007,9755.160042747299
12/2007,9699.853138908844
01/2008,9987.264676022121
02/2008,9953.068868001343
03/2008,9886.691879481714
04/2008,9826.495285378483
05/2008,9607.244525846563
06/2008,9478.369640815456
07/2008,9776.059185954791
08/2008,9947.593100543265
09/2008,9872.91495981948
10/2008,9853.849488951464
11/2008,10655.220240367807
12/2008,10846.936046425277
01/2009,10408.92094063973
02/2009,10448.823251938295
03/2009,10588.144680678713
04/2009,10730.097914202586
05/2009,10301.699811692677
06/2009,10522.279047076256
07/2009,10910.257119660098
08/2009,11036.824543853603
09/2009,11157.211368349728
10/2009,11096.416072273027
11/2009,11282.967932678594
12/2009,11117.8017313993
01/2010,11285.250554517808
02/2010,11452.761783053746
03/2010,11570.454294708494
04/2010,11629.004330084052
05/2010,11829.782059651592
06/2010,11837.247410352229
07/2010,11992.472367050515
08/2010,12889.50774945444
09/2010,12583.841396056812
10/2010,12430.549775613006
11/2010,11859.16310496471
12/2010,11599.866542730328
01/2011,11523.860028795378
02/2011,11455.661787435467
03/2011,11327.11124635022
04/2011,11544.229033876174
05/2011,11714.665311073197
06/2011,11536.663916620038
07/2011,11620.254228380158
08/2011,11950.2374479945
09/2011,12260.955560989341
10/2011,11839.293035301891
11/2011,11477.022504922867
12/2011,12257.631343465775
01/2012,12424.693519861483
02/2012,12836.919997455745
03/2012,12791.342180307129
04/2012,12752.961616901372
05/2012,13431.014439371642
06/2012,12838.366817791442
07/2012,13230.04333512246
08/2012,13327.02391982201
09/2012,13502.062801835527
10/2012,13661.441311210076
11/2012,13993.987874401582
12/2012,14282.87127612992
01/2013,14099.41279478772
02/2013,14007.895660687538
03/2013,14216.169841023942
04/2013,14957.98652779942
05/2013,14514.701448736632
06/2013,14151.245933909846
07/2013,14243.548883595306
08/2013,14050.741701216224
09/2013,14174.415279457358
10/2013,14480.53684342457
11/2013,14489.187178572967
12/2013,14376.802001333524
01/2014,15027.220001133353
02/2014,15238.126088893703
03/2014,15508.131030725335
04/2014,15851.859967293192
05/2014,16129.34267932466
06/2014,16404.89205510164
07/2014,16752.057292607267
08/2014,17569.032374955477
09/2014,17480.08474286181
10/2014,17624.45156748911
11/2014,18240.50542886588
12/2014,18841.90931057933
01/2015,20304.15086657466
02/2015,20587.471153788614
03/2015,21530.720416452696
04/2015,20596.451991312217
05/2015,19672.679890518317
06/2015,18265.85752705662
07/2015,19380.622023740143
08/2015,18833.851518975058
09/2015,19413.545500256856
10/2015,19867.14605112426
11/2015,19874.923223631075
12/2015,19425.17692577345
01/2016,20346.40436355922
02/2016,20886.43303043201
03/2016,21159.955461828362
04/2016,20501.1990513268
05/2016,21008.36028338998
06/2016,22451.037330458817
07/2016,22872.46912032656
08/2016,22617.968537590314
09/2016,22677.715976912823
10/2016,21422.49515559985
11/2016,20576.2513166337
12/2016,20762.67836620441
01/2017,19769.629169868662
02/2017,20278.51178557613
03/2017,19999.326473109897
04/2017,20161.093631949
05/2017,20318.114797208204
06/2017,20151.79471154938
07/2017,20196.518046625442
08/2017,20584.203080612635
09/2017,20301.400409385693
10/2017,20814.124858603744
11/2017,21007.437237470647
12/2017,20560.74685489783
01/2018,20644.48065806184
02/2018,20701.37797628037
03/2018,21435.161813090454
04/2018,21261.44514585875
05/2018,20925.605670492885
06/2018,21106.394780632585
07/2018,20933.16452667918
08/2018,20769.27055426346
09/2018,20712.847229824034
10/2018,20625.608459234973
11/2018,20801.37701248618
12/2018,21226.307611349614
01/2019,21698.842766461305
02/2019,21416.42684459765
03/2019,22309.83244874167
04/2019,22252.729336342298
05/2019,22879.44169403857
06/2019,24082.879362147658
07/2019,24950.340324556822
08/2019,26551.65379026333
09/2019,26342.419100229043
10/2019,25692.038564207767
11/2019,25163.847117032397
12/2019,24541.294675722715
01/2020,25991.904806201463
02/2020,26369.299310022914
03/2020,24985.203501038348
04/2020,25383.391120441946
05/2020,25297.2998705221
06/2020,25766.018133762085
07/2020,26414.30942262579
08/2020,25876.918924246787
09/2020,26772.968957954436
10/2020,27373.21905792884
11/2020,27430.64025320423
12/2020,27555.105805459996
01/2021,27157.573032377455
02/2021,26083.36579595405
03/2021,25993.8756062345
04/2021,25346.22664155218
05/2021,25313.17219577125
06/2021,25610.824379772515
07/2021,26685.51187104487
08/2021,26370.964446679125
09/2021,25717.19112928751
10/2021,25768.668721755064
11/2021,26565.480593203312
12/2021,25649.067815484712
01/2022,25182.987515457524
02/2022,24192.50782112829
03/2022,23290.115118390822
04/2022,21256.992088235016
05/2022,20263.244423370295
06/2022,19413.02778162936
07/2022,21138.002303437326
08/2022,19069.735580343026
09/2022,17588.852561340547
10/2022,17528.980311183175
11/2022,18833.558377737914
12/2022,16775.24531872381
01/2023,17702.803108680706
02/2023,16835.816037410157
03/2023,17535.298141214607
04/2023,17389.00413876218
05/2023,17428.725597518784
06/2023,17662.975622298763
07/2023,17343.788129337976
08/2023,17329.531057467288
09/2023,16123.480162503294
10/2023,16020.537397067368
11/2023,17182.33268966456
12/2023,18547.33798350175
01/2024,18244.896081072187
02/2024,17974.26123455837
03/2024,18348.493692829183
04/2024,17759.588138204057
