Data,ICE US Treasury 7-10 Year Bond (hedged simulato)
12/2004,10000
01/2005,10077.894589467356
02/2005,9949.752247413895
03/2005,9843.285464603996
04/2005,10084.989471903575
05/2005,10246.220279424153
06/2005,10256.71332851188
07/2005,10058.690523648256
08/2005,10259.577722646924
09/2005,10030.558317801708
10/2005,9911.090661133656
11/2005,9968.909941352018
12/2005,10037.502160141408
01/2006,9982.420032152528
02/2006,9973.178119323678
03/2006,9776.610604227382
04/2006,9707.450029938973
05/2006,9700.620569986098
06/2006,9679.965190333618
07/2006,9832.27712313577
08/2006,10023.321804822646
09/2006,10088.816924926396
10/2006,10145.385718739182
11/2006,10279.670533502322
12/2006,10091.222583402116
01/2007,10053.070339299224
02/2007,10273.036687703061
03/2007,10202.582100560807
04/2007,10262.137518583724
05/2007,10110.263439236944
06/2007,10011.5990231189
07/2007,10226.693499882462
08/2007,10448.769713958818
09/2007,10433.015932734694
10/2007,10547.364139986894
11/2007,10942.228030703964
12/2007,10899.997878966957
01/2008,11261.950332000171
02/2008,11412.779919734625
03/2008,11518.145355500508
04/2008,11241.943548934625
05/2008,11032.696729918664
06/2008,11090.199752097718
07/2008,11153.179798692554
08/2008,11339.057002588122
09/2008,11287.897134365778
10/2008,11144.723488673666
11/2008,12035.873609878765
12/2008,12596.263222447758
01/2009,12102.805432805786
02/2009,12003.908023656371
03/2009,12371.525325372368
04/2009,12027.524149785197
05/2009,11786.646231986137
06/2009,11682.923943995602
07/2009,11752.556787672629
08/2009,11867.845435927627
09/2009,11935.809496670941
10/2009,11929.393965118265
11/2009,12165.890413408113
12/2009,11593.488572354598
01/2010,11852.272419637553
02/2010,11920.47832713134
03/2010,11712.12123684007
04/2010,11902.938301958233
05/2010,12237.310687555579
06/2010,12556.243293219179
07/2010,12691.030131454125
08/2010,13116.093112632252
09/2010,13052.647368872274
10/2010,13042.792595118966
11/2010,12937.70670274816
12/2010,12423.337887419331
01/2011,12426.971936371641
02/2011,12398.664017607483
03/2011,12331.376383465842
04/2011,12525.969649576147
05/2011,12850.44704748348
06/2011,12735.520061191553
07/2011,13117.916509310711
08/2011,13758.330672045115
09/2011,13957.397415482774
10/2011,13758.979162991014
11/2011,13901.357439107975
12/2011,14073.484012648742
01/2012,14200.801300281819
02/2012,14066.1829748102
03/2012,13772.836656301082
04/2012,14120.051711227587
05/2012,14509.78769957462
06/2012,14379.446786879666
07/2012,14571.642175100373
08/2012,14557.326138420003
09/2012,14449.39410745977
10/2012,14402.29177750762
11/2012,14547.445729557092
12/2012,14358.269645548937
01/2013,14137.43486630968
02/2013,14295.054371402375
03/2013,14282.407210394605
04/2013,14488.934723181213
05/2013,14026.437620371504
06/2013,13619.8913564733
07/2013,13556.366247777953
08/2013,13409.217530388116
09/2013,13545.548840744206
10/2013,13663.191190727544
11/2013,13540.865207671402
12/2013,13212.585315390512
01/2014,13564.41354157811
02/2014,13632.95305314952
03/2014,13490.521907535749
04/2014,13599.453998246705
05/2014,13856.422931488487
06/2014,13753.896943609969
07/2014,13715.414865926554
08/2014,13965.759939467249
09/2014,13746.473865352444
10/2014,13970.638830210242
11/2014,14149.76109124261
12/2014,14111.726183946821
01/2015,14680.617855654848
02/2015,14337.885811855835
03/2015,14390.305322059958
04/2015,14296.867336686728
05/2015,14274.660227045493
06/2015,13963.355618736443
07/2015,14132.818130460884
08/2015,14165.082715827448
09/2015,14303.660832444912
10/2015,14218.550219465358
11/2015,14156.210666348004
12/2015,14038.283024218035
01/2016,14480.371953789034
02/2016,14697.459284796469
03/2016,14618.062055239632
04/2016,14602.488070408537
05/2016,14590.826397672414
06/2016,14950.596353456123
07/2016,14992.442845446845
08/2016,14862.94744838045
09/2016,14792.114245822548
10/2016,14578.450503525402
11/2016,13991.018865600017
12/2016,13892.015547317296
01/2017,13912.17472681401
02/2017,14017.387287811796
03/2017,13953.810185127264
04/2017,14107.577843318812
05/2017,14229.87958982868
06/2017,14075.482619808054
07/2017,14127.778478902932
08/2017,14333.939123536886
09/2017,14065.563009846572
10/2017,14038.301556365692
11/2017,13996.896187341827
12/2017,13957.317736909246
01/2018,13652.518222628585
02/2018,13525.300017957316
03/2018,13625.366853330437
04/2018,13456.417515576215
05/2018,13601.590103488583
06/2018,13540.104967744419
07/2018,13461.643144252881
08/2018,13610.661247511274
09/2018,13363.543171563795
10/2018,13315.146372170457
11/2018,13494.047657787563
12/2018,13795.412873099382
01/2019,13893.535551125116
02/2019,13841.417223919465
03/2019,14119.93318079881
04/2019,14056.742182844051
05/2019,14477.385701894318
06/2019,14604.725298043315
07/2019,14588.22585093661
08/2019,15167.36970852387
09/2019,14924.966943501742
10/2019,14947.603766137934
11/2019,14849.822856715515
12/2019,14664.587785767455
01/2020,15135.803640767823
02/2020,15607.921853538028
03/2020,16102.873351925839
04/2020,16190.258812484944
05/2020,16208.339255890245
06/2020,16136.963816897598
07/2020,16273.636475440228
08/2020,16136.744766710224
09/2020,16097.579458589964
10/2020,15887.385522863331
11/2020,15932.862328255133
12/2020,15804.981574909703
01/2021,15617.501072223635
02/2021,15185.574495560959
03/2021,14814.761652518479
04/2021,14964.603408127077
05/2021,15024.034588476867
06/2021,15109.371321687542
07/2021,15408.116969317885
08/2021,15349.60090421321
09/2021,15025.647699226927
10/2021,14956.237746821209
11/2021,15121.331130965289
12/2021,14982.981120599083
01/2022,14651.870890784774
02/2022,14592.137574679458
03/2022,13932.044796516768
04/2022,13350.54535756283
05/2022,13440.747564020607
06/2022,13243.270566197525
07/2022,13644.99482602286
08/2022,13122.282637626224
09/2022,12437.42475947618
10/2022,12257.903260202225
11/2022,12696.712678695454
12/2022,12494.509518719799
01/2023,12890.911357795056
02/2023,12476.67179136351
03/2023,12872.647838489247
04/2023,12980.788740553657
05/2023,12793.767368298433
06/2023,12566.497581285892
07/2023,12491.071190757884
08/2023,12397.16146599365
09/2023,11947.262820953958
10/2023,11717.001525417149
11/2023,12241.346649600622
12/2023,12652.7045396529
01/2024,12654.82017112198
02/2024,12394.294148098086
03/2024,12416.810389992832
04/2024,12039.5896229209
05/2024,12255.451425874666
06/2024,12347.18231277222
07/2024,12705.14958982365
08/2024,12882.682942139503
09/2024,12990.14610878042
10/2024,12556.742530357527
11/2024,12676.95627664846
12/2024,12328.48475104846
01/2025,12411.85466368555
